provincia,registros,productos_distintos
Santo Domingo De Los Tsáchilas,1161,15
Cotopaxi,1037,14
Los Rios,944,18
Chimborazo,918,17
Tungurahua,758,10
Manabí,757,20
Carchi,744,14
Guayas,738,14
Bolivar,713,14
Pichincha,710,9
Morona Santiago,667,10
El Oro,659,10
Santa Elena,609,11
Imbabura,573,14
Orellana,487,9
Napo,434,8
Esmeraldas,416,8
Sucumbios,406,9
Zamora Chinchipe,393,13
Cañar,392,7
Azuay,367,9
Pastaza,331,9
Loja,311,9
