product_id,product_name,model_name,n,rmse_bootstrap_mean,rmse_ci_lower,rmse_ci_upper,confidence,block_size_months
papa_superchola,Papa Superchola,arima,71,0.08007604329446846,0.05762140417056387,0.09233641274722174,0.95,4
papa_superchola,Papa Superchola,lstm,71,0.09855476057866772,0.0824832168291993,0.11754504583800376,0.95,4
papa_superchola,Papa Superchola,xgboost,71,0.06076873178930588,0.045816841109295056,0.07197769846648484,0.95,4
tomate_rinon_invernadero,Tomate Rinon de Invernadero,arima,98,0.10741755058019915,0.09774864690418886,0.11391436083472728,0.95,4
tomate_rinon_invernadero,Tomate Rinon de Invernadero,lstm,98,0.08245356007180647,0.0777182947902172,0.0967396835163414,0.95,4
tomate_rinon_invernadero,Tomate Rinon de Invernadero,xgboost,98,0.08040882758289153,0.0669276191640665,0.08780528719493713,0.95,4
maracuya,Maracuya,arima,83,0.13939852232719632,0.11501696846400833,0.16057661144220972,0.95,4
maracuya,Maracuya,lstm,83,0.12711043274575368,0.10947584388940651,0.14517514648793206,0.95,4
maracuya,Maracuya,xgboost,83,0.09603488809387369,0.08190029715325106,0.10678997650882079,0.95,4
