product_id,product_name,feature_set,feature,importance,importance_rank
papa_superchola,Papa Superchola,full,precio_productor_nacional_usdkg,0.09057179093360901,4.0
papa_superchola,Papa Superchola,full,precio_productor_provincia_usdkg,0.05647699534893036,5.0
papa_superchola,Papa Superchola,full,precio_productor_usdkg_filled,0.05342531204223633,6.0
papa_superchola,Papa Superchola,full,target_rolling_mean_6,0.047298599034547806,7.0
papa_superchola,Papa Superchola,full,provincia_id,0.03212598338723183,8.0
papa_superchola,Papa Superchola,full,ipc_alimentos_lag_1,0.014226619154214859,9.0
papa_superchola,Papa Superchola,full,target_lag_3,0.013708404265344143,10.0
papa_superchola,Papa Superchola,full,ipm_lag_1,0.01301109604537487,11.0
papa_superchola,Papa Superchola,full,target_momentum_1_3,0.01090543158352375,12.0
papa_superchola,Papa Superchola,full,target_lag_6,0.01046020444482565,13.0
papa_superchola,Papa Superchola,full,ipp_n_lag_1,0.00923184398561716,14.0
papa_superchola,Papa Superchola,full,target_rolling_std_3,0.00754779065027833,15.0
papa_superchola,Papa Superchola,full,ipm,0.007244841195642948,16.0
papa_superchola,Papa Superchola,full,fertilizantes_lag_3,0.0068773142993450165,17.0
papa_superchola,Papa Superchola,full,target_rolling_std_6,0.006203406490385532,18.0
papa_superchola,Papa Superchola,full,target_lag_12,0.006185015197843313,19.0
papa_superchola,Papa Superchola,full,mes_cos,0.0056428685784339905,20.0
papa_superchola,Papa Superchola,full,ibc,0.005617785733193159,21.0
papa_superchola,Papa Superchola,full,target_momentum_1_6,0.00537095544859767,22.0
papa_superchola,Papa Superchola,full,inflacion_anual,0.005340165458619595,23.0
papa_superchola,Papa Superchola,full,fertilizantes_precio_promedio_nacional,0.005335917696356773,24.0
papa_superchola,Papa Superchola,full,productor_lag_3,0.00509272888302803,25.0
papa_superchola,Papa Superchola,full,fertilizantes_lag_1,0.004410199820995331,26.0
papa_superchola,Papa Superchola,full,fertilizantes_precio_promedio_provincia,0.004208815284073353,27.0
papa_superchola,Papa Superchola,full,productor_lag_1,0.004092898219823837,28.0
papa_superchola,Papa Superchola,full,ipp_n,0.004022493027150631,29.0
papa_superchola,Papa Superchola,full,inflacion_mensual,0.004005644470453262,30.0
papa_superchola,Papa Superchola,full,ipc_alimentos,0.003968712408095598,31.0
papa_superchola,Papa Superchola,full,inflacion_acumulada,0.003638674272224307,32.0
papa_superchola,Papa Superchola,full,inflacion_mensual_lag_1,0.0033239941112697124,33.0
papa_superchola,Papa Superchola,full,target_lag_2,0.003259498393163085,34.0
papa_superchola,Papa Superchola,full,ibc_lag_1,0.0031370429787784815,35.0
papa_superchola,Papa Superchola,full,mes_sin,0.0030239338520914316,36.0
papa_superchola,Papa Superchola,full,fertilizantes_precio_promedio_filled,0.0030212686397135258,37.0
papa_superchola,Papa Superchola,full,mes_num,0.002838405082002282,38.0
papa_superchola,Papa Superchola,full,trimestre,0.0016806635539978743,39.0
papa_superchola,Papa Superchola,full,fertilizantes_registros_provincia,0.0,40.0
papa_superchola,Papa Superchola,full,fertilizantes_ingredientes_activos_provincia,0.0,41.0
papa_superchola,Papa Superchola,full,fertilizantes_missing_exact,0.0,42.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,provincia_id,0.4044373333454132,1.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_rolling_mean_6,0.153443843126297,2.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_lag_1,0.11462767422199249,3.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,mes_cos,0.0757661685347557,4.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_rolling_mean_3,0.03783091902732849,5.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,trimestre,0.03291300684213638,6.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,mes_num,0.026338841766119003,7.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_momentum_1_6,0.02343674749135971,8.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_momentum_1_3,0.018926413729786873,9.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_lag_12,0.017689988017082214,10.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_lag_6,0.017003711313009262,11.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,mes_sin,0.016538511961698532,12.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_rolling_std_6,0.0163163673132658,13.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_lag_2,0.016198908910155296,14.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_lag_3,0.014953333884477615,15.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,base,target_rolling_std_3,0.013578243553638458,16.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_rolling_mean_6,0.2596433162689209,1.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,provincia_id,0.175876647233963,2.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,precio_productor_usdkg_filled,0.11611796915531158,3.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,precio_productor_provincia_usdkg,0.09672851115465164,4.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,precio_productor_nacional_usdkg,0.06237148120999336,5.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_lag_1,0.05548830330371857,6.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_rolling_mean_3,0.04524028301239014,7.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ipm,0.024044685065746307,8.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ipc_alimentos,0.015880055725574493,9.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,inflacion_mensual,0.010464250110089779,10.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ibc,0.009742685593664646,11.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_lag_12,0.009270732291042805,12.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,mes_cos,0.008733830414712429,13.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_lag_6,0.00786720309406519,14.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,inflacion_mensual_lag_1,0.007364781107753515,15.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,trimestre,0.006769414059817791,16.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ipp_n_lag_1,0.006468326784670353,17.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ipc_alimentos_lag_1,0.0055601270869374275,18.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,mes_num,0.005560058169066906,19.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_precio_promedio_nacional,0.005236517172306776,20.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ipp_n,0.004289995413273573,21.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_lag_3,0.004274473525583744,22.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,inflacion_anual,0.004094064235687256,23.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_lag_2,0.004090234637260437,24.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,productor_lag_1,0.003910395782440901,25.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_registros_provincia,0.0037851152010262012,26.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ipm_lag_1,0.003770198905840516,27.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_momentum_1_6,0.0037069704849272966,28.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_lag_3,0.0036652388516813517,29.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,productor_lag_3,0.003477421822026372,30.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,ibc_lag_1,0.0033485323656350374,31.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,productor_missing_exact,0.003073349827900529,32.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_precio_promedio_provincia,0.0030465361196547747,33.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,inflacion_acumulada,0.0030423987191170454,34.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_momentum_1_3,0.0029686482157558203,35.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_lag_1,0.0028668821323662996,36.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_rolling_std_6,0.002504240721464157,37.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,target_rolling_std_3,0.0023598766420036554,38.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,mes_sin,0.002245111856609583,39.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_precio_promedio_filled,0.0010511244181543589,40.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_ingredientes_activos_provincia,0.0,41.0
tomate_rinon_invernadero,Tomate Rinon de Invernadero,full,fertilizantes_missing_exact,0.0,42.0
