product_id,product_name,model_name,feature_set,horizonte,mae,rmse,mape,r2,directional_accuracy,n_test
maracuya,Maracuya,arima,full,1,0.08132605428789745,0.10553606282053918,10.969732358258659,0.4801039834359384,0.45121951219512196,83
maracuya,Maracuya,arima,full,2,0.10171117618190904,0.12380553686731903,13.538061422254202,0.2235921655232862,0.4025974025974026,78
maracuya,Maracuya,arima,full,3,0.10040761074351202,0.12713039729778547,13.455916353160042,0.15285452010618927,0.5555555555555556,73
maracuya,Maracuya,lstm,full,1,0.11020928643431113,0.14065832775637002,15.194001593987833,0.07648147077362988,0.4634146341463415,83
maracuya,Maracuya,lstm,full,2,0.12677649320702514,0.1662467586552284,17.579451391652796,-0.399961674685291,0.42857142857142855,78
maracuya,Maracuya,lstm,full,3,0.14062598066603313,0.1865598419057634,19.283108251952346,-0.8242968976844689,0.4444444444444444,73
maracuya,Maracuya,xgboost,full,1,0.08050488129137537,0.10273022440405166,11.1012520072039,0.5073809672272203,0.5,83
maracuya,Maracuya,xgboost,full,2,0.10615067760781458,0.1346639754415365,14.785444088114993,0.08142919949820604,0.38961038961038963,78
maracuya,Maracuya,xgboost,full,3,0.1176550309623141,0.1481688263565373,16.456174099113387,-0.1507285048632825,0.5972222222222222,73
papa_superchola,Papa Superchola,arima,full,1,0.07364178779291863,0.13598682958471375,15.367558695728542,0.08237714438108223,0.6,71
papa_superchola,Papa Superchola,arima,full,2,0.08937476270377198,0.10995051256644087,20.00191908528733,0.44762268826401097,0.453125,65
papa_superchola,Papa Superchola,arima,full,3,0.12833654452041113,0.1912047300914912,29.95011059720893,-0.5501581550778387,0.5517241379310345,59
papa_superchola,Papa Superchola,lstm,full,1,0.09639540619485215,0.11569342338854081,22.541347699870038,0.3746620766896145,0.4861111111111111,73
papa_superchola,Papa Superchola,lstm,full,2,0.1316314866723525,0.15549537941534472,30.761945241596493,-0.07904388893431191,0.4461538461538462,66
papa_superchola,Papa Superchola,lstm,full,3,0.13990807962710244,0.17619302261734177,34.10163280025508,-0.31630386892549955,0.6379310344827587,59
papa_superchola,Papa Superchola,xgboost,full,1,0.055917793895178654,0.06526549997627279,11.276213057218625,0.8028700035323696,0.6533333333333333,76
papa_superchola,Papa Superchola,xgboost,full,2,0.07805539137615573,0.09231820063490086,16.41532747716595,0.630147225160465,0.5074626865671642,68
papa_superchola,Papa Superchola,xgboost,full,3,0.09104125966281874,0.10851837048957251,20.42072568531738,0.5115370823758509,0.576271186440678,60
tomate_rinon_invernadero,Tomate Rinon de Invernadero,arima,full,1,0.0926580479105218,0.11406435753180652,14.939225060602418,0.522815599312759,0.4742268041237113,98
tomate_rinon_invernadero,Tomate Rinon de Invernadero,arima,full,2,0.1129953343357984,0.1371803857252474,18.551592404079738,0.32028744249892316,0.5543478260869565,93
tomate_rinon_invernadero,Tomate Rinon de Invernadero,arima,full,3,0.1502564124124888,0.1770377720585858,24.652527764101897,-0.08318007355269996,0.5287356321839081,88
tomate_rinon_invernadero,Tomate Rinon de Invernadero,lstm,full,1,0.09541734963682522,0.11881169139910859,16.418153376099035,0.48226839454241255,0.4639175257731959,98
tomate_rinon_invernadero,Tomate Rinon de Invernadero,lstm,full,2,0.12026275942894757,0.14419364649515026,20.870658002576036,0.2490111246773713,0.5652173913043478,93
tomate_rinon_invernadero,Tomate Rinon de Invernadero,lstm,full,3,0.15721326768679952,0.18271741778252498,27.130912109814552,-0.15379509665602686,0.4942528735632184,88
tomate_rinon_invernadero,Tomate Rinon de Invernadero,xgboost,full,1,0.09808590703264654,0.12297659403490416,16.620632018805885,0.4453343873418567,0.4536082474226804,98
tomate_rinon_invernadero,Tomate Rinon de Invernadero,xgboost,full,2,0.13548744880364544,0.16385565654893156,23.67032345946745,0.030240302734718894,0.5108695652173914,93
tomate_rinon_invernadero,Tomate Rinon de Invernadero,xgboost,full,3,0.16939699725851856,0.20310658584122637,29.799573008097642,-0.4256627507869588,0.5057471264367817,88
