provincia,registros,productos_distintos
Guayas,14523,98
Pichincha,12637,94
Azuay,10759,78
Tungurahua,6071,80
Chimborazo,5535,86
Imbabura,3920,63
Cotopaxi,3293,55
Manabí,2693,48
Santa Elena,2689,46
El Oro,2569,42
Carchi,2422,38
Los Rios,1985,28
Santo Domingo De Los Tsáchilas,1951,70
Bolivar,1773,43
Loja,732,26
Peru,586,17
Cañar,198,6
