Año,Mes,IPP-N,,,,,
2013,Enero,96.50536509802734,,,,,
2013,Febrero,98.7952568065238,,,,,
2013,Marzo,100.5278512016614,,,,,
2013,Abril,95.24080291931489,,,,,
2013,Mayo,93.07772180152364,,,,,
2013,Junio,93.06190483735303,,,,,
2013,Julio,95.65734908566412,,,,,
2013,Agosto,95.48225531962991,,,,,
2013,Septiembre,95.17719219908875,,,,,
2013,Octubre,95.29946740108014,,,,,
2013,Noviembre,97.32582534909433,,,,,
2013,Diciembre,97.40920370200789,,,,,
2014,Enero,97.7325153686191,,,,,
2014,Febrero,99.22604653156618,,,,,
2014,Marzo,100.3618329293947,,,,,
2014,Abril,98.85863621430978,,,,,
2014,Mayo,98.77707254312205,,,,,
2014,Junio,99.30166468414308,,,,,
2014,Julio,102.3283870718244,,,,,
2014,Agosto,103.32264546893633,,,,,
2014,Septiembre,104.96964479714268,,,,,
2014,Octubre,106.06188232862037,,,,,
2014,Noviembre,106.2524510708894,,,,,
2014,Diciembre,105.88903582028149,,,,,
2015,Enero,105.61969171860564,,,,,
2015,Febrero,105.09468453950268,,,,,
2015,Marzo,109.0344118446227,,,,,
2015,Abril,106.27013119627489,,,,,
2015,Mayo,105.68555500616381,,,,,
2015,Junio,105.72147546310684,,,,,
2015,Julio,104.74714449750407,,,,,
2015,Agosto,108.49955786376582,,,,,
2015,Septiembre,104.15865260713718,,,,,
2015,Octubre,102.72700970675635,,,,,
2015,Noviembre,103.14092336700229,,,,,
2015,Diciembre,100.59114535957674,,,,,
2016,Enero,99.99999999999999,,,,,
2016,Febrero,100.2532106193035,,,,,
2016,Marzo,99.23030599554397,,,,,
2016,Abril,106.12279002367964,,,,,
2016,Mayo,103.62766423622132,,,,,
2016,Junio,102.68874358935827,,,,,
2016,Julio,102.4870711494968,,,,,
2016,Agosto,102.12867708135678,,,,,
2016,Septiembre,100.96345163585332,,,,,
2016,Octubre,98.78741473330955,,,,,
2016,Noviembre,97.77124882799976,,,,,
2016,Diciembre,99.95312657717108,,,,,
2017,Enero,97.900896734359,,,,,
2017,Febrero,98.32298974729969,,,,,
2017,Marzo,102.98660839957942,,,,,
