Año,Mes,IPM,,,,,
2013,Enero,90.73843861647072,,,,,
2013,Febrero,90.36617655067693,,,,,
2013,Marzo,89.76601946593365,,,,,
2013,Abril,89.45085621434777,,,,,
2013,Mayo,91.27404794725226,,,,,
2013,Junio,88.79296923807087,,,,,
2013,Julio,89.61753732646407,,,,,
2013,Agosto,88.00336552000263,,,,,
2013,Septiembre,89.7828143048173,,,,,
2013,Octubre,91.59834158589324,,,,,
2013,Noviembre,93.00162205220069,,,,,
2013,Diciembre,93.7355342226447,,,,,
2014,Enero,93.31735342690277,,,,,
2014,Febrero,93.68108237277444,,,,,
2014,Marzo,95.668316206403,,,,,
2014,Abril,94.39844149809119,,,,,
2014,Mayo,95.31700709015279,,,,,
2014,Junio,96.0459355517112,,,,,
2014,Julio,98.20192394188261,,,,,
2014,Agosto,98.23885424225703,,,,,
2014,Septiembre,99.0849751610405,,,,,
2014,Octubre,100.50857493153187,,,,,
2014,Noviembre,100.14891250909224,,,,,
2014,Diciembre,98.8749725228921,,,,,
2015,Enero,96.79615569094616,,,,,
2015,Febrero,94.22143689828717,,,,,
2015,Marzo,97.62738356180827,,,,,
2015,Abril,99.78165940824904,,,,,
2015,Mayo,101.23860648206507,,,,,
2015,Junio,102.12360436494231,,,,,
2015,Julio,101.22587116224615,,,,,
2015,Agosto,101.57132687483485,,,,,
2015,Septiembre,100.76740960122483,,,,,
2015,Octubre,100.76324088757106,,,,,
2015,Noviembre,102.15214011039247,,,,,
2015,Diciembre,100.84698158833218,,,,,
2016,Enero,100,,,,,
2016,Febrero,100.15702620789267,,,,,
2016,Marzo,100.36575957596568,,,,,
2016,Abril,100.21469794650261,,,,,
2016,Mayo,99.12755782063581,,,,,
2016,Junio,96.71223582960162,,,,,
2016,Julio,95.09800096248989,,,,,
2016,Agosto,94.17593349498311,,,,,
2016,Septiembre,92.90959609384296,,,,,
2016,Octubre,90.74831929976158,,,,,
2016,Noviembre,90.0906853342623,,,,,
2016,Diciembre,92.27567399471785,,,,,
2017,Enero,96.04567941153522,,,,,
2017,Febrero,96.76925781574016,,,,,
2017,Marzo,97.26825637600805,,,,,
2017,Abril,98.25531315005473,,,,,
2017,Mayo,99.25248513073534,,,,,
2017,Junio,99.3109717555539,,,,,
2017,Julio,98.2211539001768,,,,,
2017,Agosto,95.12691883535356,,,,,
2017,Septiembre,92.50700260137717,,,,,
2017,Octubre,91.11013432877608,,,,,
2017,Noviembre,89.21945695998897,,,,,
2017,Diciembre,89.62912060938197,,,,,
2018,Enero,88.28073779062005,,,,,
2018,Febrero,88.93685839660316,,,,,
2018,Marzo,89.49485178556814,,,,,
2018,Abril,87.31334686484563,,,,,
2018,Mayo,85.40568132403492,,,,,
2018,Junio,86.66422650516537,,,,,
2018,Julio,90.81054678737638,,,,,
2018,Agosto,92.09545845145173,,,,,
