año,mes,ipc_alimentos_y_bebidas_no_alcohólicas,inflación_mensual,inflación_anual,inflación_acumulada
2005,Enero,57.228169245012545,,,
2005,Febrero,57.62603473484567,0.006952266603702295,,
2005,Marzo,58.08210305555461,0.007914275601426546,,
2005,Abril,58.970983789061144,0.015303866195346405,,
2005,Mayo,59.3498318777924,0.006424313524875158,,
2005,Junio,59.27371547935046,-0.0012825040279587085,,
2005,Julio,58.64595721880407,-0.010590837025647226,,
2005,Agosto,58.23742454096017,-0.006966084231854075,,
2005,Septiembre,58.59194759478505,0.006087546910243713,,
2005,Octubre,59.40179108809051,0.013821754124069274,,
2005,Noviembre,59.76377116326236,0.006093756914417714,,
2005,Diciembre,60.17178250597402,0.006827068218253185,,
2006,Enero,60.90521491529737,0.012188975941514357,0.06425237289248575,0.012188975941514357
2006,Febrero,62.02891034428427,0.018449904996635347,0.0764042785469714,0.03086376638627697
2006,Marzo,63.10296688511031,0.017315418485745138,0.08644424987079624,0.04871360390304669
2006,Abril,62.45206480449576,-0.01031492040302362,0.059030404306742223,0.03789620655321868
2006,Mayo,61.905234465348336,-0.008756000956241627,0.04305661038463904,0.028808386376159234
2006,Junio,61.358441577548675,-0.00883274076129592,0.03517117294468375,0.019721188606251383
2006,Julio,61.235612198361665,-0.002001833423878163,0.044157433902831,0.017679876647862747
2006,Agosto,61.606576671178786,0.006057985859853066,0.05785201108694271,0.02384496695045235
2006,Septiembre,62.20603562222983,0.009730437616273013,0.06168233308166138,0.03380742653009894
2006,Octubre,62.6604225578398,0.007304547397448902,0.05485746153540827,0.041358921877022725
2006,Noviembre,63.07873861352087,0.00667592139671469,0.05546784256975168,0.048310952185241174
2006,Diciembre,62.86338597840442,-0.0034140288764474835,0.04473198832298464,0.04473198832298464
2007,Enero,63.09520362807081,0.003687641797500696,0.03595732673826246,0.003687641797500696
2007,Febrero,63.16228708134305,0.0010632100288903157,0.018271749910938384,0.004754772564133036
2007,Marzo,63.385484915728405,0.0035337199569405175,0.004477095841348699,0.008305294555774223
2007,Abril,63.1957121996466,-0.0029939459536219015,0.011907490928903641,0.005286482999123487
2007,Mayo,62.927225725551814,-0.0042484919427221435,0.016508963563905743,0.0010155314759743295
2007,Junio,63.70913025132355,0.012425536272358428,0.03831076235539532,0.013453686271523324
2007,Julio,64.53196958734165,0.012915563793950868,0.053830724812581776,0.026543012008777955
2007,Agosto,64.17495673183991,-0.005532340912337008,0.04169003050388098,0.020863826105168126
2007,Septiembre,64.65397797700068,0.007464301801751061,0.03935216784488449,0.028483861801707366
2007,Octubre,64.8327379064871,0.002764871320833695,0.03466806095413899,0.03132748733514301
2007,Noviembre,65.53473499876759,0.010827818089265806,0.038935407384958154,0.04249451375846758
2007,Diciembre,66.45771587841327,0.014083842403010083,0.05717684219624464,0.05717684219624464
2008,Enero,67.9461721883547,0.022397042845478055,0.07688331729427533,0.022397042845478055
2008,Febrero,69.3094680289798,0.02006435089302583,0.0973235965904804,0.04291077586512171
2008,Marzo,71.82431534145594,0.03628432570604412,0.13313506139374098,0.08075209013895468
2008,Abril,73.92003148174277,0.029178365715338828,0.16970010952983827,0.11228666987264613
2008,Mayo,75.57051227315588,0.02232792327504307,0.20091917928729242,0.13712172129741562
2008,Junio,76.65563138745374,0.014359028166642585,0.20321264919263626,0.1534496841224262
2008,Julio,77.23933441480902,0.007614613783623714,0.19691580636274275,0.16223275798586134
2008,Agosto,77.36127686436103,0.0015787610092174997,0.20547454652164698,0.16406764574780475
2008,Septiembre,77.90493414480734,0.007027511727857316,0.20495190833455634,0.17224814478031658
2008,Octubre,77.61739908221712,-0.003690845332797066,0.19719452839042906,0.16792155818627408
2008,Noviembre,76.81935342779647,-0.010281788153907456,0.17219293599403573,0.15591323614462138
2008,Diciembre,77.09048768449198,0.003529504540159323,0.1599930371596241,0.1599930371596241
2009,Enero,78.09069224449246,0.01297442252660308,0.1493023040064123,0.01297442252660308
2009,Febrero,78.36826646268561,0.0035545109182040235,0.1307007352865288,0.016575051171335176
2009,Marzo,79.73482691056894,0.01743767611006186,0.11013695754016006,0.03430175765523047
2009,Abril,80.50110736699354,0.009610360818667951,0.08902966832307424,0.044241770741679565
2009,Mayo,80.21431070796271,-0.0035626424084250763,0.06144987370234345,0.04052151072458643
2009,Junio,79.74445306514806,-0.005857528895626407,0.04029477837162365,0.034426625908996256
2009,Julio,79.47363169893666,-0.0033961154136972205,0.028926936010718052,0.030913593700407915
2009,Agosto,78.48895553548373,-0.012389973157173717,0.014576784624430017,0.018140601947094437
2009,Septiembre,78.49641011213784,9.497612247799658e-05,0.007592278638360428,0.018237300993604766
2009,Octubre,79.1108494282187,0.007827610399037344,0.019241179988775725,0.026207665879550035
2009,Noviembre,79.40805957998543,0.0037568823229032766,0.033698619380103434,0.030063007319120594
2009,Diciembre,80.5544629209652,0.014436863802534061,0.04493388666381537,0.04493388666381537
2010,Enero,81.94167965204011,0.017220855068402097,0.04931429465999204,0.017220855068402097
2010,Febrero,82.39461949313933,0.005527587950632684,0.05137733947925005,0.02284363281001056
2010,Marzo,82.76811191528508,0.004532971017322751,0.03804215952106205,0.027480153352791525
2010,Abril,83.47390133036171,0.008527310805386268,0.036928609563289694,0.036241795966796886
2010,Mayo,83.33034693753038,-0.0017197518091696118,0.038846387908415325,0.034459717263445766
2010,Junio,83.05072135722166,-0.003355627218477153,0.041460793384243466,0.030988456079778404
2010,Julio,82.93241671562157,-0.0014244866229545794,0.04352116472778711,0.029519826815672223
2010,Agosto,83.02737961589563,0.001145063704096394,0.05782245475747416,0.030698692602006306
2010,Septiembre,82.90234490449339,-0.0015059455324336612,0.05612912470852294,0.029146516510597076
2010,Octubre,83.38367114118722,0.005805942368075856,0.054010565476805716,0.03512168187376363
2010,Noviembre,84.05720669703639,0.008077547397843832,0.05854754720921007,0.043482926321634974
2010,Diciembre,84.9059649025256,0.010097387705831684,0.05401937799312018,0.05401937799312018
2011,Enero,85.93799412810078,0.012154967283629414,0.04877022893636984,0.012154967283629414
2011,Febrero,86.73498110610737,0.00927397696551524,0.052677731139100015,0.021541669135749508
2011,Marzo,87.20876540120064,0.005462436136507209,0.05365174320347754,0.027121775264184578
2011,Abril,88.50945113125555,0.014914621529970695,0.060324840706376115,0.042440907807441475
2011,Mayo,89.13033205136207,0.007014854483571309,0.06960231568674158,0.04975347908343264
2011,Junio,88.4576458541269,-0.007547219692254026,0.06510388360925501,0.04183075895408206
2011,Julio,88.47633682979883,0.00021129858805823964,0.06684865018690545,0.04205089632244463
2011,Agosto,89.07333393629747,0.006747534175686853,0.07281880204303537,0.049082170358185406
2011,Septiembre,90.00911933644863,0.010505786174124898,0.08572464916574463,0.0601036033190554
2011,Octubre,90.20430854214393,0.0021685492218370683,0.08179823828346255,0.06240249016309973
2011,Noviembre,90.85289684936346,0.007190214278029794,0.0808460145103378,0.07004139171688473
2011,Diciembre,90.70602848359583,-0.0016165512698086415,0.06831161494635696,0.06831161494635696
2012,Enero,91.13622947496016,0.004742804845017989,0.06048820896506846,0.004742804845017989
2012,Febrero,92.05522787274066,0.010083787787523057,0.06133911253320923,0.014874418070115691
2012,Marzo,94.31912235987603,0.024592785651077254,0.08153259510055522,0.03983300709647564
2012,Abril,93.91859333971826,-0.004246530397404968,0.06111372445911112,0.035417324623615576
2012,Mayo,93.088285238433,-0.00884072122206836,0.04440635523258374,0.026263488708118343
2012,Junio,93.12530683692754,0.0003977041622338362,0.052767185218765,0.026671637969126083
2012,Julio,93.42720922188992,0.0032418941232703613,0.0559570227417423,0.02999999871878667
2012,Agosto,93.84991440348671,0.004524433354236912,0.0536252574828433,0.03466016506785374
2012,Septiembre,95.67521038562593,0.019449095864827015,0.06295018872474234,0.05478336980577625
2012,Octubre,95.61212097589298,-0.0006594122916340206,0.05995071101534455,0.05408783268671513
2012,Noviembre,95.79047653101313,0.0018654073698993745,0.05434697024395718,0.05605413589833019
2012,Diciembre,95.21134898183409,-0.006045773756971906,0.049669471517574504,0.049669471517574504
2013,Enero,95.74014275529179,0.005553894353062638,0.05051682856373341,0.005553894353062638
2013,Febrero,95.59754937820824,-0.0014893791985249871,0.03848039472961351,0.0040562432998174636
