fecha,precio_banano_internacional,ipc,fertilizantes,precio_productor_banano,ipp,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,diff_1,diff_2,rolling_mean_3,rolling_std_3
2016-07-01,0.7061679811725282,107.77526781028878,27.273724661100093,0.32754990812600954,102.4870711494968,0.6897794559627592,0.7135167211392016,0.7630879090393964,0.862678170000798,0.9672778981133948,0.8202206245310736,0.016388525209768967,-0.007348739966673401,0.7031547194248297,0.012152129413573314
2016-08-01,0.7163024527298293,107.23352240022407,26.853630456102945,0.3189996548898223,102.12867708135678,0.7061679811725282,0.6897794559627592,0.7135167211392016,0.7630879090393964,0.862678170000798,0.9672778981133948,0.010134471557301072,0.02652299676707004,0.7040832966217057,0.013383825000117545
2016-09-01,0.7062226592972802,106.878457181975,26.86293983887386,0.2887462710459757,100.96345163585332,0.7163024527298293,0.7061679811725282,0.6897794559627592,0.7135167211392016,0.7630879090393964,0.862678170000798,-0.010079793432549056,5.467812475201672e-05,0.7095643643998794,0.005835419709063744
2016-10-01,0.7004267780735646,106.27603248097836,26.1872704184963,0.26332993478682165,98.78741473330956,0.7062226592972802,0.7163024527298293,0.7061679811725282,0.6897794559627592,0.7135167211392016,0.7630879090393964,-0.00579588122371566,-0.015875674656264716,0.707650630033558,0.008033591150013873
2016-11-01,0.6898629643714714,105.98509136790769,25.54588621680464,0.27051329295173493,97.77124882799976,0.7004267780735646,0.7062226592972802,0.7163024527298293,0.7061679811725282,0.6897794559627592,0.7135167211392016,-0.010563813702093139,-0.0163596949258088,0.6988374672474387,0.008294837924447343
2016-12-01,0.6797584469172956,106.27401728322432,25.64086299363069,0.1621521339709927,99.95312657717108,0.6898629643714714,0.7004267780735646,0.7062226592972802,0.7163024527298293,0.7061679811725282,0.6897794559627592,-0.010104517454175843,-0.020668331156268982,0.6900160631207771,0.01033501609173926
2017-01-01,0.6880257793798031,106.79525338604871,25.278412933331037,0.21020620428618692,97.900896734359,0.6797584469172956,0.6898629643714714,0.7004267780735646,0.7062226592972802,0.7163024527298293,0.7061679811725282,0.008267332462507548,-0.0018371849916682947,0.6858823968895233,0.005382460833122033
2017-02-01,0.7085732431024098,107.29633613408298,24.89137922616525,0.37893752161837463,98.32298974729969,0.6880257793798031,0.6797584469172956,0.6898629643714714,0.7004267780735646,0.7062226592972802,0.7163024527298293,0.02054746372260663,0.028814796185114178,0.6921191564665028,0.014837112986622002
2017-03-01,0.7450184529256892,108.06190921517076,24.629445083296474,0.4465305819989277,102.98660839957942,0.7085732431024098,0.6880257793798031,0.6797584469172956,0.6898629643714714,0.7004267780735646,0.7062226592972802,0.03644520982327948,0.05699267354588611,0.713872491802634,0.028863519138647126
2017-04-01,0.7348739966673464,109.33097122487412,24.466428997461694,0.5035568744782168,98.85195984083418,0.7450184529256892,0.7085732431024098,0.6880257793798031,0.6797584469172956,0.6898629643714714,0.7004267780735646,-0.010144456258342816,0.026300753564936663,0.7294885642318153,0.018809983829177496
