fecha,precio_banano_internacional,ipc,fertilizantes
2016-01-01,0.8202206245310736,105.23275680662876,29.290111602692395
2016-02-01,0.9672778981133948,106.01971614024043,29.46021420731641
2016-03-01,0.862678170000798,106.69311045056514,29.43611253216872
2016-04-01,0.7630879090393964,107.35969037863828,28.852897993662257
2016-05-01,0.7135167211392016,107.54173592608984,28.2422361097831
2016-06-01,0.6897794559627592,108.07569375026584,27.784109861597727
2016-07-01,0.7061679811725282,107.77526781028878,27.273724661100093
2016-08-01,0.7163024527298293,107.23352240022407,26.853630456102945
2016-09-01,0.7062226592972802,106.878457181975,26.86293983887386
2016-10-01,0.7004267780735646,106.27603248097836,26.1872704184963
2016-11-01,0.6898629643714714,105.98509136790769,25.54588621680464
2016-12-01,0.6797584469172956,106.27401728322432,25.64086299363069
2017-01-01,0.6880257793798031,106.79525338604871,25.278412933331037
2017-02-01,0.7085732431024098,107.29633613408298,24.89137922616525
2017-03-01,0.7450184529256892,108.06190921517076,24.629445083296474
2017-04-01,0.7348739966673464,109.33097122487412,24.466428997461694
2017-05-01,0.7348739966673464,108.56390855580456,24.011155084433387
2017-06-01,0.7348739966673464,108.21463669560993,23.645135670700196
2017-07-01,0.7348739966673464,107.42480462559575,24.038332204997975
2017-08-01,0.6999093890195868,107.5003021619046,23.242528658583417
2017-09-01,0.7013453705693987,106.75214893443608,23.16156329175125
2017-10-01,0.707316221792321,106.2531200787179,22.9159920226524
2017-11-01,0.707316221792321,105.52760320060771,23.142823391394522
2017-12-01,0.707316221792321,106.02464555374796,23.495274590545016
2018-01-01,0.894752833442296,106.10508513770736,23.833693051739925
2018-02-01,1.2956277903704583,106.48102101306874,23.983813671791356
2018-03-01,1.0971334736608633,107.10361898304726,24.27861263940919
2018-04-01,0.7913018214114462,105.68709684765804,24.229324397824396
2018-05-01,0.7459938005642867,105.08521138746752,24.32005921264528
2018-06-01,0.6896792458723047,104.30030454589304,24.351573128601814
