mae,rmse,mape,r2,directional_accuracy,n_test,provincia
0.08273071042297865,0.10412456369321267,11.180060130344325,-0.1513861257786664,0.5714285714285714,22,Guayas
0.04331575382095481,0.06043830487213794,5.049661155622761,-0.9643117374993393,0.5454545454545454,12,Los Rios
0.0915212604352562,0.09980114288113641,14.792930797578578,0.013592039840489734,0.6111111111111112,19,Manabí
0.17577399341044075,0.2042164053822297,19.740884331651717,-1.5573939731878599,0.36363636363636365,12,Santa Elena
0.06577043394842594,0.0881521600184724,10.095569849865448,-1.5528914329259402,0.3888888888888889,19,Santo Domingo De Los Tsáchilas
