fecha,provincia_key,provincia,producto,target_precio_mercado_usdkg,target_precio_mercado_usd,mercados_observaciones,mercados_distintos,tipos_mercado_distintos,precio_productor_provincia_usdkg,productor_observaciones_provincia,precio_productor_nacional_usdkg,productor_observaciones_nacional,fertilizantes_precio_promedio_provincia,fertilizantes_precio_mediano_provincia,fertilizantes_registros_provincia,fertilizantes_ingredientes_activos_provincia,fertilizantes_precio_promedio_nacional,fertilizantes_precio_mediano_nacional,fertilizantes_registros_nacional,ipc_alimentos,inflacion_mensual,inflacion_anual,inflacion_acumulada,ibc,ipm,ipp_n,provincia_id,anio,mes_num,trimestre,mes_sin,mes_cos,productor_missing_exact,precio_productor_usdkg_filled,fertilizantes_missing_exact,fertilizantes_precio_promedio_filled,macro_missing_any,target_lag_1,target_lag_2,target_lag_3,target_lag_6,target_lag_12,target_rolling_mean_3,target_rolling_std_3,target_rolling_mean_6,target_rolling_std_6,target_momentum_1_3,target_momentum_1_6,productor_lag_1,productor_lag_3,fertilizantes_lag_1,fertilizantes_lag_3,ipc_alimentos_lag_1,inflacion_mensual_lag_1,ibc_lag_1,ipm_lag_1,ipp_n_lag_1
2017-01-01,guayas,Guayas,Maracuya,0.737692307692308,13.4615384615385,1,1,1,0.39691236208445635,0.0,0.39691236208445635,4,24.711007936507933,24.711007936507933,2,2.0,25.278412933331037,23.15127777777778,58,106.79525338604871,0.0049046428859018,0.0148480057620379,0.0049,393.4842146837502,96.04567941153522,97.900896734359,0,2017,1,1,0.49999999999999994,0.8660254037844387,1,0.39691236208445635,0,24.711007936507933,0,0.728181818181818,0.705,0.594615384615385,0.939230769230769,0.729230769230769,0.675932400932401,0.07137010600090235,0.730530303030303,0.11582888071901486,0.13356643356643305,-0.21104895104895094,0.35342873887119164,0.31352654088050314,25.056166666666666,23.94121273712737,106.27401728322432,0.0027260996012512,318.3163614688067,92.27567399471783,99.95312657717108
2017-02-01,guayas,Guayas,Maracuya,0.764,13.9,1,1,1,0.32,1.0,0.4072962515723271,5,24.93966374269006,24.93966374269006,2,2.0,24.89137922616525,22.781145833333333,58,107.29633613408298,0.004691994561059,0.0120413451414438,0.0096,392.62593862516593,96.76925781574016,98.32298974729969,0,2017,2,1,0.8660254037844386,0.5000000000000001,0,0.32,0,24.93966374269006,0,0.737692307692308,0.728181818181818,0.705,0.749230769230769,0.854,0.7236247086247087,0.016815831266955142,0.6969405594405594,0.05797832787350338,0.03269230769230802,-0.011538461538461053,0.39691236208445635,0.3535422568832984,24.711007936507933,23.241802308802306,106.79525338604871,0.0049046428859018,393.4842146837502,96.04567941153522,97.900896734359
2017-03-01,guayas,Guayas,Maracuya,0.711538461538462,13.0,1,1,1,0.259,1.0,0.32552156693620843,5,22.122202380952377,19.411250000000003,3,3.0,24.629445083296474,22.875,57,108.06190921517076,0.0071351278959896,0.0128293078983747,0.0168,340.3079521529929,97.26825637600804,102.98660839957942,0,2017,3,1,1.0,6.123233995736766e-17,0,0.259,0,22.122202380952377,0,0.764,0.737692307692308,0.728181818181818,0.666923076923077,0.834615384615385,0.7432913752913753,0.018553913486761612,0.699402097902098,0.06088313397599126,0.03581818181818197,0.09707692307692306,0.32,0.35342873887119164,24.93966374269006,25.056166666666666,107.29633613408298,0.004691994561059,392.62593862516593,96.76925781574016,98.32298974729969
2017-04-01,guayas,Guayas,Maracuya,0.668461538461539,12.1538461538462,1,1,1,0.23,1.0,0.30832738993710695,5,23.34260064412238,23.34260064412238,2,2.0,24.466428997461694,22.38095238095238,58,109.33097122487412,0.0117438422004596,0.0183614617300356,0.0288,330.89532557748174,98.25531315005472,98.85195984083418,0,2017,4,2,0.8660254037844387,-0.4999999999999998,0,0.23,0,23.34260064412238,0,0.711538461538462,0.764,0.737692307692308,0.594615384615385,0.834615384615384,0.73774358974359,0.026230806827552945,0.7068379953379954,0.05881229311663974,-0.026153846153845972,0.11692307692307702,0.259,0.39691236208445635,22.122202380952377,24.711007936507933,108.06190921517076,0.0071351278959896,340.3079521529929,97.26825637600804,102.98660839957942
2017-05-01,guayas,Guayas,Maracuya,0.736923076923077,13.4869230769231,1,1,1,0.2766666666666666,1.0,0.36718197376460016,5,18.304642857142856,18.304642857142856,1,1.0,24.011155084433387,21.77777777777778,53,108.56390855580456,-0.0070159686726997,0.0095048924114191,0.0212,286.58639031591645,99.25248513073534,95.36070581510612,0,2017,5,2,0.49999999999999994,-0.8660254037844387,0,0.2766666666666666,0,18.304642857142856,0,0.668461538461539,0.711538461538462,0.764,0.705,0.885384615384615,0.714666666666667,0.047845988951813294,0.7191456876456878,0.03244808608696276,-0.09553846153846102,-0.036538461538460965,0.23,0.32,23.34260064412238,24.93966374269006,109.33097122487412,0.0117438422004596,330.89532557748174,98.25531315005472,98.85195984083418
2017-06-01,guayas,Guayas,Maracuya,0.879230769230769,16.0261538461539,1,1,1,0.2566666666666666,1.0,0.3284577281621244,5,18.21421052631579,18.21421052631579,1,1.0,23.645135670700196,21.41730769230769,52,108.21463669560993,-0.0032172004936162,0.0012856077118055,0.0183,271.7671614708417,99.3109717555539,98.37871496745883,0,2017,6,2,1.2246467991473532e-16,-1.0,0,0.2566666666666666,0,18.21421052631579,0,0.736923076923077,0.668461538461539,0.711538461538462,0.728181818181818,0.9375,0.705641025641026,0.034609686140636683,0.7244662004662006,0.032281509890479856,0.025384615384615006,0.008741258741258973,0.2766666666666666,0.259,18.304642857142856,22.122202380952377,108.56390855580456,-0.0070159686726997,286.58639031591645,99.25248513073534,95.36070581510612
2017-07-01,guayas,Guayas,Maracuya,0.734615384615385,13.41,1,1,1,0.186,1.0,0.2712511698113207,5,24.038332204997975,22.115000000000002,0,0.0,24.038332204997975,22.115000000000002,52,107.42480462559575,-0.0072987545320309,-0.0032517959993375,0.0108,267.71595663813423,98.2211539001768,100.38979992876315,0,2017,7,3,-0.4999999999999997,-0.8660254037844388,0,0.186,1,24.038332204997975,0,0.879230769230769,0.736923076923077,0.668461538461539,0.737692307692308,0.939230769230769,0.7615384615384616,0.10751909146558891,0.7496410256410259,0.07119847526235638,0.21076923076923004,0.14153846153846106,0.2566666666666666,0.23,18.21421052631579,23.34260064412238,108.21463669560993,-0.0032172004936162,271.7671614708417,99.3109717555539,98.37871496745883
2017-08-01,guayas,Guayas,Maracuya,0.558571428571429,10.2142857142857,1,1,1,0.1425,1.0,0.19040478867924526,5,19.105238095238096,19.105238095238096,1,1.0,23.242528658583417,21.189285714285717,52,107.5003021619046,0.0007027942622002,0.0024878392102503,0.0115,196.95407301039867,95.12691883535356,101.88416902151182,0,2017,8,3,-0.8660254037844385,-0.5000000000000004,0,0.1425,0,19.105238095238096,0,0.734615384615385,0.879230769230769,0.736923076923077,0.764,0.749230769230769,0.7835897435897436,0.08283559440359653,0.7491282051282053,0.07131274011951169,-0.002307692307692011,-0.02938461538461501,0.186,0.2766666666666666,24.038332204997975,18.304642857142856,107.42480462559575,-0.0072987545320309,267.71595663813423,98.2211539001768,100.38979992876315
2017-09-01,guayas,Guayas,Maracuya,0.467692307692308,8.56384615384615,1,1,1,0.1649999999999999,1.0,0.19636157258909848,6,19.35368421052632,19.35368421052632,1,1.0,23.16156329175125,21.511904761904763,50,106.75214893443608,-0.0069595453447353,-0.0011817933273855,0.0045,241.33302541397387,92.50700260137717,101.07731467228116,0,2017,9,3,-1.0,-1.8369701987210297e-16,0,0.1649999999999999,0,19.35368421052632,0,0.558571428571429,0.734615384615385,0.879230769230769,0.711538461538462,0.666923076923077,0.7241391941391945,0.16058616413997404,0.7148901098901103,0.1043884728622545,-0.32065934065934,-0.15296703296703296,0.1425,0.2566666666666666,19.105238095238096,18.21421052631579,107.5003021619046,0.0007027942622002,196.95407301039867,95.12691883535356,101.88416902151182
2017-10-01,guayas,Guayas,Maracuya,0.456923076923077,8.30769230769231,1,1,1,0.1699999999999999,1.0,0.23262045596652356,6,19.1096875,19.1096875,2,2.0,22.9159920226524,20.92571428571429,53,106.2531200787179,-0.0046746492759098,-0.0002155933160616,-0.0002,303.3194356829705,91.11013432877608,98.43806966710156,0,2017,10,4,-0.8660254037844386,0.5000000000000001,0,0.1699999999999999,0,19.1096875,0,0.467692307692308,0.558571428571429,0.734615384615385,0.668461538461539,0.594615384615385,0.5869597069597073,0.13570704849383639,0.6742490842490846,0.14537546450924366,-0.266923076923077,-0.20076923076923098,0.1649999999999999,0.186,19.35368421052632,24.038332204997975,106.75214893443608,-0.0069595453447353,241.33302541397387,92.50700260137717,101.07731467228116
